,Reseñas,Target,Texto procesado
359,problemas,0,problem
360,liquidez,0,liquidez
361,castigar,0,castig
362,castrado,0,castr
363,víctima,0,victim
364,cataclismo,0,catacl
365,catástrofe,0,catastrof
366,cáustico,0,caustic
367,advertido,0,advert
368,cueva,0,cuev
369,censura,0,censur
370,rozar,0,roz
371,disgusto,0,disgust
372,desafiante,0,desafi
373,caos,0,caos
374,caótico,0,caotic
375,charla,0,charl
376,parlanchín,0,parlanchin
377,barato,0,barat
378,abaratar,0,abarat
379,tramposo,0,trampos
380,trampas,0,tramp
381,cuadros,0,cuadr
382,triste,0,trist
383,caseoso,0,caseos
384,reprendo,0,reprend
385,infantil,0,infantil
386,frío,0,fri
387,ahogo,0,ahog
388,colérico,0,coler
389,picado,0,pic
390,faena,0,faen
391,crónico,0,cronic
392,fornido,0,forn
393,clamor,0,clamor
394,choque,0,choqu
395,cliché,0,clich
396,camarilla,0,camarill
397,obstruir,0,obstru
398,zuecos,0,zuec
399,nube,0,nub
400,enturbiamiento,0,enturbi
401,nublado,0,nubl
402,grueso,0,grues
403,engreído,0,engreid
404,obligar,0,oblig
405,coerción,0,coercion
406,coactivo,0,coactiv
407,fríamente,0,friament
408,colapso,0,colaps
409,confabularse,0,confabul
410,colusión,0,colusion
411,combativo,0,combat
412,arder,0,arder
413,cómico,0,comic
414,compadecer,0,compadec
415,vulgar,0,vulg
416,conmoción,0,conmocion
417,suficiente,0,suficient
418,quejar,0,quej
419,se,0,se
420,quejumbroso,0,quejumbr
421,complejo,0,complej
422,Complicado,0,complic
423,compulsión,0,compulsion
424,compulsivo,0,compuls
425,conceder,0,conced
426,presunción,0,presuncion
427,concentrarse,0,concentr
428,preocupación,0,preocup
429,concesión,0,concesion
430,condenar,0,conden
431,condescender,0,condescend
432,condescendiente,0,condescendient
433,condescendencia,0,condescendent
434,confesar,0,confes
435,confesión,0,confesion
436,confinado,0,confin
437,conflicto,0,conflict
438,contradictorio,0,contradictori
439,aturdido,0,aturd
440,confuso,0,confus
441,confrontar,0,confront
442,confusión,0,confusion
443,congestionado,0,congestion
444,contras,0,contr
445,conservador,0,conserv
446,conspicuo,0,conspicu
447,conspiraciones,0,conspir
448,consternación,0,constern
449,contagioso,0,contagi
450,contaminar,0,contamin
451,desprecio,0,despreci
452,desdeñoso,0,desdeñ
453,contender,0,contend
454,contención,0,contencion
455,contencioso,0,contenci
456,retorcer,0,retorc
457,contorsiones,0,contorsion
458,contradecir,0,contradec
459,contradicción,0,contradiccion
460,contrariedad,0,contraried
461,infringir,0,infring
462,idear,0,ide
463,inventado,0,invent
464,polémico,0,polem
465,controversia,0,controversi
466,corroer,0,corr
467,corrosión,0,corrosion
468,corrupto,0,corrupt
469,corrompiendo,0,corromp
470,corrupción,0,corrupcion
471,costoso,0,costos
472,contraproducente,0,contraproducent
473,golpistas,0,golpist
474,codicioso,0,codici
475,cobarde,0,cobard
476,osco,0,osco
477,grieta,0,griet
478,agrietado,0,agriet
479,astutamente,0,astut
480,calambre,0,calambr
481,estrecho,0,estrech
482,maniático,0,maniat
483,dados,0,dad
484,estrellado,0,estrell
485,craso,0,cras
486,manía,0,man
487,locura,0,locur
488,crujir,0,cruj
489,crujiente,0,crujient
490,crédulo,0,credul
491,arrastrarse,0,arrastr
492,progresivo,0,progres
493,grima,0,grim
494,Siniestro,0,siniestr
495,crimen,0,crim
496,delincuente,0,delincuent
497,encogerse,0,encog
498,lisiado,0,lisi
499,herida,0,her
500,crisis,0,crisis
501,crítico,0,critic
502,amiguismo,0,amigu
503,ladrón,0,ladron
504,torcido,0,torc
505,lleno,0,llen
506,gente,0,gent
507,hacinamiento,0,hacin
508,crudo,0,crud
509,cruel,0,cruel
510,crueldad,0,crueld
511,crueldades,0,crueldad
512,desmoronarse,0,desmoron
513,sucio,0,suci
514,arruga,0,arrug
515,Persona,0,person
516,especial,0,especial
517,aplastada,0,aplast
518,incómodo,0,incomod
519,coño,0,coñ
520,maldición,0,maldicion
521,tipo,0,tip
522,terco,0,terc
523,cínico,0,cinic
524,cinismo,0,cinism
525,dañar,0,dañ
526,perjuicios,0,perjuici
527,perjudicial,0,perjudicial
528,detestable,0,detest
529,apagador,0,apag
530,peligro,0,peligr
531,oscuro,0,oscur
532,oscurecer,0,oscurec
533,asquerosa,0,asquer
534,ruin,0,ruin
535,acobardar,0,acobard
536,desalentador,0,desalent
537,desalentadoramente,0,desalentador
538,holgazanear,0,holgazan
539,muerto,0,muert
540,perezoso,0,perez
541,punto,0,punt
542,mortal,0,mortal
543,peso,0,pes
544,sordo,0,sord
545,escasez,0,escasez
546,debacle,0,debacl
547,degradar,0,degrad
548,humillación,0,humill
549,discutible,0,discut
550,libertino,0,libertin
551,libertinaje,0,libertinaj
552,debilitar,0,debilit
553,debilidad,0,debil
554,deuda,0,deud
555,decadencia,0,decadent
556,decaído,0,decaid
557,declamar,0,declam
558,disminución,0,disminu
559,declina,0,declin
560,decremento,0,decrement
561,decrépito,0,decrepit
562,decrepitud,0,decrepitud
563,desacreditar,0,desacredit
564,difamatorio,0,difamatori
565,defectuoso,0,defectu
566,defensivo,0,defens
567,deficiencias,0,deficient
568,desfiladero,0,desfilader
569,profanador,0,profan
570,deformar,0,deform
571,defraudar,0,defraud
572,difunto,0,difunt
573,degenerar,0,degener
574,deshumanización,0,deshumaniz
575,dignarse,0,dign
576,presar,0,pres
577,abatido,0,abat
578,retrasar,0,retras
579,delirante,0,delir
580,delirio,0,deliri
581,diluvio,0,diluvi
582,alucinaciones,0,alucin
583,fallecimiento,0,fallec
584,demoler,0,demol
585,demoledor,0,demoledor
586,demonio,0,demoni
587,demoníaco,0,demoniac
588,demonizar,0,demoniz
589,desmoralizar,0,desmoraliz
590,desmoralizadoramente,0,desmoralizador
591,negación,0,negacion
592,negado,0,neg
593,niega,0,nieg
594,denigrar,0,denigr
595,denunciar,0,denunci
596,denso,0,dens
597,mella,0,mell
598,abolladuras,0,abolladur
599,agotar,0,agot
600,deplorable,0,deplor
601,depravar,0,deprav
602,desaprobar,0,desaprob
603,deprimir,0,deprim
604,deprimente,0,depriment
605,depresión,0,depresion
606,ridiculizar,0,ridiculiz
607,burla,0,burl
608,burlón,0,burlon
609,despectivo,0,despect
610,Desierto,0,desiert
611,deserción,0,desercion
612,desecar,0,desec
613,destituir,0,destitu
614,solitario,0,solitari
615,soledad,0,soled
616,desesperación,0,desesper
617,despojar,0,despoj
618,saqueador,0,saqueador
619,déspota,0,despot
620,desestabilización,0,desestabiliz
621,desteñidos,0,desteñ
622,indigente,0,indigent
623,destruir,0,destru
624,destructor,0,destructor
625,destrucción,0,destruccion
626,destructivo,0,destruct
627,inconexo,0,inconex
628,deteriorarse,0,deterior
629,disuasorio,0,disuasori
630,detraer,0,detr
631,restado,0,rest
632,desmereciendo,0,desmerec
633,detracción,0,detraccion
634,detrimento,0,detriment
635,devastar,0,devast
636,devastadoramente,0,devastador
637,desviarse,0,desvi
638,desviación,0,desviacion
639,diablo,0,diabl
640,diabólico,0,diabol
641,diablura,0,diablur
642,tortuoso,0,tortuos
643,tortuosamente,0,tortu
644,vacío,0,vaci
645,diametralmente,0,diametral
646,decepcionado,0,decepcion
647,diatriba,0,diatrib
648,polla,0,poll
649,dictador,0,dictador
650,dictatorial,0,dictatorial
651,morir,0,mor
652,intransigente,0,intransigent
653,murió,0,mur
654,muere,0,muer
655,difícil,0,dificil
656,dificultades,0,dificultad
657,dificultad,0,dificult
658,timidez,0,timidez
659,dilema,0,dilem
660,regulador,0,regul
661,intensidad,0,intens
662,estruendo,0,estruend
663,timbre,0,timbr
664,mono,0,mon
665,terrible,0,terribl
666,suciedad,0,sucied
667,bolsa,0,bols
668,tierra,0,tierr
669,basura,0,basur
670,inhabilitar,0,inhabilit
671,discapacitado,0,discapacit
672,desacuerdo,0,desacuerd
673,desventaja,0,desventaj
674,perjudicado,0,perjudic
675,desafectar,0,desafect
676,testar,0,test
677,discrepar,0,discrep
678,desagradable,0,desagrad
679,no,0,no
680,está,0,esta
681,acuerdo,0,acuerd
682,rechazar,0,rechaz
683,desarmar,0,desarm
684,desorden,0,desord
685,desastre,0,desastr
686,repudiar,0,repudi
687,incredulidad,0,incredul
688,creer,0,cre
689,algo,0,algo
690,malestar,0,malest
691,descomponer,0,descompon
692,desconsolado,0,desconsol
693,descontento,0,descontent
694,interrumpido,0,interrump
695,discontinuidad,0,discontinu
696,discordia,0,discordi
697,discordancia,0,discord
698,desánimo,0,desanim
699,descortés,0,descortes
700,descrédito,0,descredit
701,discriminar,0,discrimin
702,discriminatorio,0,discriminatori
703,desdén,0,desden
704,desfavorecer,0,desfavorec
705,desgracia,0,desgraci
706,deshonrado,0,deshonr
707,vergonzoso,0,vergonz
708,asco,0,asco
709,repugnante,0,repugn
710,descorazonador,0,descorazon
711,deshonesto,0,deshonest
712,desilusión,0,desilusion
713,poco,0,poc
714,inclinado,0,inclin
715,desintegrarse,0,desintegr
716,desinterés,0,desinteres
717,le,0,le
718,gusta,0,gust
719,dislocado,0,disloc
720,desleal,0,desleal
721,deslealtad,0,deslealt
722,tristemente,0,tristement
723,tristeza,0,tristez
724,desobediencia,0,desobedient
725,desobedecer,0,desobedec
726,trastorno,0,trastorn
727,desordenado,0,desorden
728,desestructurado,0,desestructur
729,desorientar,0,desorient
730,renegar,0,reneg
731,dispensable,0,dispens
732,desplazar,0,desplaz
733,desproporcionado,0,desproporcion
734,refutar,0,refut
735,cuestionado,0,cuestion
736,desasosiego,0,desasosieg
737,inquietante,0,inquiet
738,indiferencia,0,indiferent
739,fama,0,fam
740,falta,0,falt
741,respeto,0,respet
742,irrespetuoso,0,irrespetu
743,disruptivo,0,disrupt
744,insatisfacción,0,insatisfaccion
745,satisfactorio,0,satisfactori
746,insatisfecho,0,insatisfech
747,insatisfactorio,0,insatisfactori
748,disimular,0,disimul
749,disensión,0,disension
750,disentimiento,0,disent
751,disidente,0,disident
752,deservicio,0,deservici
753,insultando,0,insult
754,hostil,0,hostil
755,disoluto,0,disolut
756,disolución,0,disolu
757,disonancia,0,dison
758,disuadir,0,disuad
759,disuasivo,0,disuas
760,distorsionar,0,distorsion
761,distraer,0,distr
762,distracción,0,distraccion
763,desconfianza,0,desconfi
764,disturbio,0,disturbi
765,perturbado,0,perturb
766,desunión,0,desunion
767,desvalorizar,0,desvaloriz
768,divergente,0,divergent
769,divisivo,0,divis
770,mareado,0,mar
771,chocho,0,choch
772,esquivo,0,esquiv
773,obstinado,0,obstin
774,dogmático,0,dogmat
775,zona,0,zon
776,las,0,las
777,calmas,0,calm
778,ecuatoriales,0,ecuatorial
779,dominar,0,domin
780,Día,0,dia
781,del,0,del
782,Juicio,0,juici
783,Final,0,final
784,droga,0,drog
785,duda,0,dud
786,dudoso,0,dudos
787,idiota,0,idiot
788,gilipollas,0,gilipoll
789,imbéciles,0,imbecil
790,alicaído,0,alicaid
791,caída,0,caid
792,cuesta,0,cuest
793,abajo,0,abaj
794,recesión,0,recesion
795,monótono,0,monoton
796,draconiano,0,draconian
797,dragón,0,dragon
798,desagüe,0,desagü
799,drenando,0,dren
800,drástico,0,drastic
801,retirarse,0,retir
802,inconvenientes,0,inconvenient
803,pavor,0,pavor
804,goteado,0,got
805,goteo,0,gote
806,chorreante,0,chorreant
807,cae,0,cae
808,abandonar,0,abandon
809,sequía,0,sequ
810,borracho,0,borrach
811,duplicable,0,duplic
812,zoquete,0,zoquet
813,pasmar,0,pasm
814,tugurio,0,tuguri
815,arrojado,0,arroj
816,dumping,0,dumping
817,deshecho,0,deshech
818,burro,0,burr
819,calabozo,0,calaboz
820,mazmorras,0,mazmorr
821,polvo,0,polv
822,polvoriento,0,polvorient
823,menguando,0,mengu
824,moribundo,0,moribund
825,ensordecedor,0,ensordecedor
826,excéntrico,0,excentr
827,efigie,0,efigi
828,egocéntrico,0,egocentr
829,ego,0,ego
830,egotismo,0,egot
831,ególatra,0,egolatr
832,egoístamente,0,egoist
833,enorme,0,enorm
834,aparejador,0,aparej
835,electoral,0,electoral
836,eliminación,0,elimin
837,demacrado,0,demacr
838,embarazoso,0,embaraz
839,vergüenza,0,vergüenz
840,orden,0,orden
841,batalla,0,batall
842,embrollar,0,embroll
843,emergencia,0,emergent
844,enfático,0,enfat
845,invadir,0,invad
846,invasión,0,invasion
847,poner,0,pon
848,enemigos,0,enemig
849,enervar,0,enerv
850,inflamarse,0,inflam
851,sumergir,0,sumerg
852,imponer,0,impon
853,enfurecer,0,enfurec
854,esclavizar,0,esclaviz
855,enredar,0,enred
856,entrelazamiento,0,entrelaz
857,entrampar,0,entramp
858,atrapamiento,0,atrap
859,envidioso,0,envidi
860,epidemia,0,epidemi
861,equívoco,0,equivoc
862,borrar,0,borr
863,erosionar,0,erosion
864,errar,0,errar
865,andante,0,andant
866,errático,0,errat
867,erróneo,0,errone
868,erróneamente,0,erron
869,erupciones,0,erupcion
870,escapada,0,escap
871,evitar,0,evit
872,evadir,0,evad
873,evasión,0,evasion
874,evasivo,0,evas
875,malhechor,0,malhechor
876,destripar,0,destrip
877,exagerar,0,exager
878,exasperar,0,exasper
879,excesivo,0,exces
880,exclusión,0,exclusion
881,excoriar,0,excori
882,agudísimo,0,agudisim
883,excusa,0,excus
884,execrar,0,execr
885,cansada,0,cans
886,exorbitante,0,exorbit
887,exhortar,0,exhort
888,exilio,0,exili
889,expulsar,0,expuls
890,expirar,0,expir
891,Caducado,0,caduc
892,explotar,0,explot
893,explosivo,0,explos
894,expropiar,0,expropi
895,exterminar,0,extermin
896,exterminio,0,extermini
897,extinguir,0,extingu
898,extorsionar,0,extorsion
899,extravagancia,0,extravag
900,extremismo,0,extrem
901,monstruosidad,0,monstru
902,joder,0,jod
903,fabricar,0,fabric
904,chistoso,0,chistos
905,broma,0,brom
906,fallar,0,fall
907,ha,0,ha
908,fracaso,0,fracas
909,desmayarse,0,desmay
910,otoño,0,otoñ
911,falacias,0,falaci
912,falazmente,0,falaz
913,que,0,que
914,caer,0,caer
915,falsedad,0,falsed
916,falsificar,0,falsific
917,desfallecer,0,desfallec
918,vaciló,0,vacil
919,hambruna,0,hambrun
920,famélico,0,famel
921,imaginario,0,imaginari
922,inverosímil,0,inverosimil
923,farsa,0,fars
924,pero,0,per
925,provocativo,0,provoc
926,ridículamente,0,ridicul
927,descabellado,0,descabell
928,fascismo,0,fascism
929,fascista,0,fascist
930,fastidioso,0,fastidi
931,fastuoso,0,fastuos
932,grasa,0,gras
933,gato,0,gat
934,gordo,0,gord
935,fatal,0,fatal
936,fatalistamente,0,fatalist
937,fatídico,0,fatid
938,insondable,0,insond
939,fatiga,0,fatig
940,fatuidad,0,fatuid
941,fatuo,0,fatu
942,adulador,0,adul
943,temor,0,temor
944,miedo,0,mied
945,temible,0,temibl
946,irresponsable,0,irrespons
947,mentales,0,mental
948,fingir,0,fing
949,finta,0,fint
950,cayó,0,cay
951,felón,0,felon
952,criminal,0,criminal
953,ferozmente,0,feroz
954,ferocidad,0,feroc
955,fétido,0,fet
956,fiebre,0,fiebr
957,febril,0,febril
958,fiasco,0,fiasc
959,mentira,0,mentir
960,voluble,0,volubl
961,ficción,0,ficcion
962,ficticio,0,fictici
963,agitarse,0,agit
964,nervioso,0,nervios
965,figura,0,figur
966,decorativa,0,decor
967,inmundicia,0,inmundici
968,inmundo,0,inmund
969,melindroso,0,melindr
970,fisuras,0,fisur
971,puño,0,puñ
972,asombrar,0,asombr
973,flojo,0,floj
974,flagrante,0,flagrant
975,notoriamente,0,notori
976,instinto,0,instint
977,reproches,0,reproch
978,escama,0,escam
979,descamación,0,descam
980,llamarada,0,llamar
981,estallar,0,estall
982,brotes,0,brot
983,plano,0,plan
984,lucir,0,luc
985,huir,0,huir
986,huyó,0,huy
987,huyendo,0,huyend
988,fugaz,0,fugaz
989,parpadeante,0,parpad
990,parpadeo,0,parpade
991,frívolo,0,frivol
992,endeble,0,endebl
993,Ligar,0,lig
994,coqueta,0,coquet
995,derribado,0,derrib
996,platija,0,platij
997,tambaleándose,0,tambal
998,neciamente,0,neci
999,prohibir,0,prohib
1000,amenazante,0,amenaz
1001,potente,0,potent
1002,presentimiento,0,present
1003,premonitoriamente,0,premonitori
1004,perder,0,perd
1005,olvidadizo,0,olvidadiz
1006,olvido,0,olvid
1007,abjurar,0,abjur
1008,díscolo,0,discol
1009,frenéticamente,0,frenet
1010,fractura,0,fractur
1011,fragmentado,0,fragment
1012,fraude,0,fraud
1013,fraudulento,0,fraudulent
1014,tenso,0,tens
1015,monstruoso,0,monstruos
1016,congelar,0,congel
1017,frenesí,0,frenes
1018,displicente,0,displicent
1019,trastes,0,trast
1020,fricción,0,friccion
1021,frito,0,frit
1022,susto,0,sust
1023,asustar,0,asust
1024,aterrador,0,aterr
1025,frígido,0,frig
1026,escarcha,0,escarch
1027,fruncir,0,frunc
1028,ceño,0,ceñ
1029,infructuoso,0,infructu
1030,frustrar,0,frustr
1031,frustrante,0,frustrant
1032,frustración,0,frustracion
1033,fugitivo,0,fugit
1034,toda,0,tod
1035,regla,0,regl
1036,fulminar,0,fulmin
1037,buscar,0,busc
1038,tientas,0,tient
1039,humo,0,hum
1040,vapores,0,vapor
1041,fundamentalismo,0,fundamental
1042,miedoso,0,miedos
1043,gracioso,0,gracios
1044,furioso,0,furios
1045,furor,0,furor
1046,escándalo,0,escandal
1047,exigente,0,exigent
1048,fustigar,0,fustig
1049,rancio,0,ranci
1050,fútil,0,futil
1051,inútilmente,0,inutil
1052,garfio,0,garfi
1053,metedura,0,metedur
1054,pata,0,pat
1055,hiel,0,hiel
1056,mortificante,0,mortif
1057,agallas,0,agall
1058,gángster,0,gangst
1059,mirar,0,mir
1060,boquiabierto,0,boquiabiert
1061,llamativo,0,llamat
1062,jadear,0,jad
1063,desmañado,0,desmañ
1064,papar,0,pap
1065,moscas,0,mosc
1066,desgarbado,0,desgarb
1067,vejestorio,0,vejestori
1068,genocidio,0,genocidi
1069,Hacerse,0,hac
1070,rico,0,ric
1071,fantasma,0,fantasm
1072,farfullar,0,farfull
1073,truco,0,truc
1074,destello,0,destell
1075,deslumbrante,0,deslumbr
1076,fácil,0,facil
1077,sinceridad,0,sincer
1078,regocijo,0,regocij
1079,melancólico,0,melancol
1080,sombrío,0,sombri
1081,roer,0,roer
1082,aguijón,0,aguijon
1083,Dios,0,dios
1084,bobo,0,bob
1085,mentecato,0,mentecat
1086,seguir,0,segu
1087,chisme,0,chism
1088,gracia,0,graci
1089,injerto,0,injert
1090,granoso,0,granos
1091,luchar,0,luch
1092,rallar,0,rall
1093,rejilla,0,rejill
1094,gravemente,0,gravement
1095,grasiento,0,grasient
1096,grave,0,grav
1097,severo,0,sever
1098,mueca,0,muec
1099,moler,0,mol
1100,cólicos,0,colic
1101,espeluznante,0,espeluzn
